N°,Región,Fecha del mensaje,Hora,Mensaje,Poligono de difusión,Tipo de Mensaje,Evento,Fecha_dt,FechaHora_del_mensaje,Amenaza,Variable_amenaza,Fecha_real,Hora_real
2202,Atacama,46221.0,0.990277777777778,"SENAPRED: EVITE ribera del Rio Copiapo por crecida, Comuna de Tierra Amarilla",Comuna de Tierra Amarilla,Preventivo,Inundación,2026-07-18,2026-07-18 23:46:00,Meteorológica,Inundación,18/07/2026,23:46
2203,Atacama,46222.0,0.0472222222222222,"SENAPRED: EVITE ribera del Rio Copiapo por crecida, Comuna de Copiapo",Comuna de Copiapó,Preventivo,Inundación,2026-07-19,2026-07-19 01:08:00,Meteorológica,Inundación,19/07/2026,01:08
2204,Atacama,46222.0,0.503472222222222,"SENAPRED: EVACUE sector El Jilguero por activacion de quebrada El Jilguero, Comuna Vallenar",Comuna de Vallenar,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 12:05:00,Meteorológica,Inundación,19/07/2026,12:05
2205,Atacama,46222.0,0.572916666666667,"SENAPRED: EVACUE sector Villa San Pedro por activacion quebrada Francisco Pizarro, Huasco",Comuna de Huasco,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 13:45:00,Meteorológica,Inundación,19/07/2026,13:45
2206,Coquimbo,46222.0,0.584027777777778,"SENAPRED: EVACUE sector ribera de Rio Limari, por desborde de Rio Limari, comuna de Ovalle",Comuna de Ovalle,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 14:01:00,Meteorológica,Inundación,19/07/2026,14:01
2207,Atacama,46222.0,0.622916666666667,"SENAPRED: EVITE ribera del Rio Huasco por alerta de crecida, Comuna de Huasco",Comuna de Huasco,Preventivo,Inundación,2026-07-19,2026-07-19 14:57:00,Meteorológica,Inundación,19/07/2026,14:57
2208,Atacama,46222.0,0.623611111111111,"SENAPRED: EVITE ribera del Rio Huasco por alerta de crecida, Comuna de Freirina",Comuna de Freirina,Preventivo,Inundación,2026-07-19,2026-07-19 14:58:00,Meteorológica,Inundación,19/07/2026,14:58
2209,Atacama,46222.0,0.625,"SENAPRED: EVITE ribera del Rio Huasco por alerta de crecida, Comuna de Vallenar",Comuna de Vallenar,Preventivo,Inundación,2026-07-19,2026-07-19 15:00:00,Meteorológica,Inundación,19/07/2026,15:00
2210,Atacama,46222.0,0.650694444444444,"SENAPRED: EVACUE sector Maitencillo Bajo por activacion de quebrada Maitencillo, Freirina",Comuna de Freirina,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 15:37:00,Meteorológica,Inundación,19/07/2026,15:37
2211,Atacama,46222.0,0.653472222222222,"SENAPRED: EVACUE sector Poblacion Pablo Neruda por desborde de Canal Ventana, com. Vallenar""",Comuna de Vallenar,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 15:41:00,Meteorológica,Inundación,19/07/2026,15:41
2212,Coquimbo,46222.0,0.670138888888889,"SENAPRED: EVACUE sectores Marquesa y Nueva Talcuna, por desborde quebrada Marquesa, Vicuna",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 16:05:00,Meteorológica,Inundación,19/07/2026,16:05
2213,Coquimbo,46222.0,0.672222222222222,"SENAPRED: EVACUE sectores El Arrayan y Calera, por desborde de quebrada El Arrayan, Vicuna",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 16:08:00,Meteorológica,Inundación,19/07/2026,16:08
2214,Atacama,46222.0,0.673611111111111,"SENAPRED: EVACUE sector Amancay por activacion de quebrada Alarcon, comuna de Freirina",Comuna de Freirina,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 16:10:00,Meteorológica,Inundación,19/07/2026,16:10
2215,Atacama,46222.0,0.685416666666667,"SENAPRED: EVACUE sector Huasco Bajo por activacion de quebrada Lo Martinez, comuna Huasco",Comuna de Huasco,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 16:27:00,Meteorológica,Inundación,19/07/2026,16:27
2216,Atacama,46222.0,0.702083333333333,"SENAPRED: EVACUE sector La Arena por activacion de quebrada Centinela, comuna de Huasco",Comuna de Huasco,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 16:51:00,Meteorológica,Inundación,19/07/2026,16:51
2217,Atacama,46222.0,0.713194444444444,"SENAPRED: EVACUE sector Amancay por activacion de quebrada Alarcon, comuna de Freirina",Comuna de Freirina,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 17:07:00,Meteorológica,Inundación,19/07/2026,17:07
2218,Coquimbo,46222.0,0.750694444444444,"SENAPRED: EVITE ribera de los rios Elqui y Turbio por alerta de crecida, comuna de Vicuna",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 18:01:00,Meteorológica,Inundación,19/07/2026,18:01
2219,Atacama,46222.0,0.761111111111111,"SENAPRED: EVACUE sector Las Tablas por activacion de quebrada del Negro, comuna de Freirina",Comuna de Freirina,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 18:16:00,Meteorológica,Inundación,19/07/2026,18:16
2220,Atacama,46222.0,0.763194444444444,"SENAPRED: EVITE sector Callejon Martinez por alerta de crecida del Rio Huasco, Vallenar.",Comuna de Vallenar,Preventivo,Inundación,2026-07-19,2026-07-19 18:19:00,Meteorológica,Inundación,19/07/2026,18:19
2221,Coquimbo,46222.0,0.78125,"SENAPRED: EVITE sectores Lambert e Islon por crecida de quebrada Santa Gracia, La Serena",Comuna de La Serena,Preventivo,Inundación,2026-07-19,2026-07-19 18:45:00,Meteorológica,Inundación,19/07/2026,18:45
2222,Coquimbo,46222.0,0.79375,"SENAPRED: EVACUE sector Tres Cruces por desborde de quebrada Tres Cruces, comuna Paihuano",Comuna de Paiguano,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 19:03:00,Meteorológica,Inundación,19/07/2026,19:03
2223,Coquimbo,46222.0,0.811111111111111,"SENAPRED: EVACUE sector Tres Cruces por desborde de quebrada Tres Cruces, comuna Paihuano",Comuna de Paiguano,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 19:28:00,Meteorológica,Inundación,19/07/2026,19:28
2224,Atacama,46222.0,0.829166666666667,"SENAPRED: EVACUE sector Callejon Dona Anita por activacion quebrada Agua Salada, Freirina.",Comuna de Freirina,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 19:54:00,Meteorológica,Inundación,19/07/2026,19:54
2225,Coquimbo,46222.0,0.870138888888889,"SENAPRED: EVITE ribera del rio Elqui por crecida, comuna de La Serena",Comuna de La Serena,Preventivo,Inundación,2026-07-19,2026-07-19 20:53:00,Meteorológica,Inundación,19/07/2026,20:53
2226,Atacama,46222.0,0.872916666666667,"SENAPRED: EVACUE sector Nicolasa por desborde de rio Huasco, Comuna de Freirina",Comuna de Freirina,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 20:57:00,Meteorológica,Inundación,19/07/2026,20:57
2227,Coquimbo,46222.0,0.875,"SENAPRED: EVACUE sector Arrayan Costero por activación de quebradas, Comuna de La Serena",Comuna de La Serena,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 21:00:00,Meteorológica,Inundación,19/07/2026,21:00
2228,Atacama,46222.0,0.884722222222222,"SENAPRED: EVITE ribera del rio Huasco por crecida, comuna de Alto del Carmen",Comuna de Alto del Carmen,Preventivo,Inundación,2026-07-19,2026-07-19 21:14:00,Meteorológica,Inundación,19/07/2026,21:14
2229,Atacama,46222.0,0.890277777777778,"SENAPRED: EVACUE sectores de ribera del Rio Huasco por desborde, Comuna de Huasco",Comuna de Huasco,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 21:22:00,Meteorológica,Inundación,19/07/2026,21:22
2230,Coquimbo,46222.0,0.894444444444444,"SENAPRED: EVACUE sector Pueblo Islon parte alta por aluvion, Comuna de La Serena",Comuna de La Serena,Amenaza Inminente,Remoción en masa,2026-07-19,2026-07-19 21:28:00,Meteorológica,Remoción en masa,19/07/2026,21:28
2231,Atacama,46222.0,0.897222222222222,"SENAPRED: EVITE ribera del rio Huasco por crecida, comuna de Vallenar",Comuna de Vallenar,Preventivo,Inundación,2026-07-19,2026-07-19 21:32:00,Meteorológica,Inundación,19/07/2026,21:32
2232,Coquimbo,46222.0,0.901388888888889,"SENAPRED: EVACUE sector Cruz de Cana por activacion de quebradas, Comuna de Coquimbo",Comuna de Coquimbo,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 21:38:00,Meteorológica,Inundación,19/07/2026,21:38
2233,Coquimbo,46222.0,0.902777777777778,"SENAPRED: EVACUE sector Quebrada de Martinez por activacion de quebradas, Comuna de Coquimbo",Comuna de Coquimbo,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 21:40:00,Meteorológica,Inundación,19/07/2026,21:40
2234,Atacama,46222.0,0.9125,"SENAPRED: EVACUE sectores de ribera del Rio Huasco por desborde, Comuna de Huasco",Comuna de Huasco,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 21:54:00,Meteorológica,Inundación,19/07/2026,21:54
2235,Atacama,46222.0,0.914583333333333,"SENAPRED: EVACUE sector Pie de Gallo por activacion de quebradas, Comuna de Alto del Carmen",Comuna de Alto del Carmen,Amenaza Inminente,Inundación,2026-07-19,2026-07-19 21:57:00,Meteorológica,Inundación,19/07/2026,21:57
2236,Coquimbo,46222.0,0.917361111111111,"SENAPRED: EVITE ribera de rios, quebradas y esteros por crecida, Provincia del Elqui",Provincia de Elqui,Preventivo,Inundación,2026-07-19,2026-07-19 22:01:00,Meteorológica,Inundación,19/07/2026,22:01
